# This  a data file of potential over a plane
# Variables:  Top=4, Right=1, Bottom=-4, Left=2, Front=3, Back=4, cycles=10000
  
# X  Z V
13 8  -0.37564
13 9  -0.437161
13 10  -0.477991
13 11  -0.500787
13 12  -0.50712
13 13  -0.497584
13 14  -0.47185
13 15  -0.428649
13 16  -0.365696
13 17  -0.27954
13 18  -0.165375
13 19  -0.0168389
13 20  0.174075
13 21  0.416705
13 22  0.720013
13 23  1.09648
13 24  1.41886
13 25  4
  
14 0  3
14 1  1.17868
14 2  0.739097
14 3  0.425795
14 4  0.174564
14 5  -0.0234023
14 6  -0.176419
14 7  -0.292576
14 8  -0.378741
14 9  -0.440278
14 10  -0.481122
14 11  -0.503951
14 12  -0.510345
14 13  -0.500905
14 14  -0.475299
14 15  -0.432248
14 16  -0.36945
14 17  -0.283427
14 18  -0.169338
14 19  -0.0207758
14 20  0.17031
14 21  0.413303
14 22  0.717187
14 23  1.09445
14 24  1.4178
14 25  4
  
15 0  3
15 1  1.1786
15 2  0.739028
15 3  0.425888
15 4  0.174984
15 5  -0.0225183
15 6  -0.174988
15 7  -0.290578
15 8  -0.376217
15 9  -0.437319
15 10  -0.477857
15 11  -0.500535
15 12  -0.506949
15 13  -0.497705
15 14  -0.472467
15 15  -0.429944
15 16  -0.367802
15 17  -0.282525
15 18  -0.169211
15 19  -0.0213751
15 20  0.169124
15 21  0.411762
15 22  0.715596
15 23  1.09314
15 24  1.41706
15 25  4
  
16 0  3
16 1  1.17921
16 2  0.740399
16 3  0.428252
16 4  0.178569
16 5  -0.0175563
16 6  -0.168601
16 7  -0.28283
16 8  -0.367266
16 9  -0.427399
16 10  -0.467252
16 11  -0.489561
16 12  -0.495939
16 13  -0.487
16 14  -0.462402
16 15  -0.420836
16 16  -0.359938
16 17  -0.276133
16 18  -0.164435
16 19  -0.0182426
16 20  0.170736
16 21  0.412139
16 22  0.715177
16 23  1.09244
16 24  1.41656
16 25  4
  
17 0  3
17 1  1.18055
17 2  0.743348
17 3  0.433209
17 4  0.185889
17 5  -0.00767773
17 6  -0.156164
17 7  -0.268017
17 8  -0.350402
17 9  -0.408903
17 10  -0.447603
17 11  -0.469272
17 12  -0.475541
17 13  -0.467025
17 14  -0.443382
17 15  -0.403287
17 16  -0.344341
17 17  -0.262909
17 18  -0.1539
17 19  -0.0105493
17 20  0.175659
17 21  0.414641
17 22  0.715889
17 23  1.09219
17 24  1.41617
17 25  4
  
18 0  3
18 1  1.18263
18 2  0.748027
18 3  0.441228
18 4  0.197837
18 5  0.00845736
18 6  -0.135935
18 7  -0.244071
18 8  -0.323305
18 9  -0.379334
18 10  -0.416299
18 11  -0.436991
18 12  -0.443048
18 13  -0.43509
18 14  -0.412772
18 15  -0.374763
18 16  -0.318644
18 17  -0.240727
18 18  -0.13581
18 19  0.00307297
18 20  0.184755
18 21  0.419598
18 22  0.717611
18 23  1.09203
18 24  1.41559
18 25  4
  
19 0  3
19 1  1.18525
19 2  0.754429
19 3  0.452837
19 4  0.215651
19 5  0.0327924
19 6  -0.105371
19 7  -0.207986
19 8  -0.282642
19 9  -0.33514
19 10  -0.369646
19 11  -0.388945
19 12  -0.394661
19 13  -0.387407
19 14  -0.366843
19 15  -0.331654
19 16  -0.279434
19 17  -0.206478
19 18  -0.107499
19 19  0.0246773
19 20  0.199299
19 21  0.427404
19 22  0.719928
19 23  1.09108
19 24  1.4141
19 25  4
  
20 0  3
20 1  1.18769
20 2  0.761962
20 3  0.468366
20 4  0.240858
20 5  0.0679585
20 6  -0.0609807
20 7  -0.155668
20 8  -0.223922
20 9  -0.271579
20 10  -0.302755
20 11  -0.320166
20 12  -0.325379
20 13  -0.318985
20 14  -0.300661
20 15  -0.269144
20 16  -0.222103
20 17  -0.1559
20 18  -0.0652559
20 19  0.0571542
20 20  0.221032
20 21  0.438364
20 22  0.721673
20 23  1.08723
20 24  1.40992
20 25  4
  
21 0  3
21 1  1.18755
21 2  0.768407
21 3  0.487376
21 4  0.275076
21 5  0.117244
21 6  0.00167778
21 7  -0.0819503
21 8  -0.141548
21 9  -0.182813
21 10  -0.209659
21 11  -0.22462
21 12  -0.229144
21 13  -0.223771
21 14  -0.208211
21 15  -0.181309
21 16  -0.140908
21 17  -0.0835897
21 18  -0.00427779
21 19  0.104291
21 20  0.252141
21 21  0.452385
21 22  0.720039
21 23  1.07557
21 24  1.39862
21 25  4
  
22 0  3
22 1  1.17774
22 2  0.767464
22 3  0.507403
22 4  0.319387
22 5  0.184125
22 6  0.0874689
22 7  0.018768
22 8  -0.0295596
22 9  -0.0627163
22 10  -0.0841606
22 11  -0.096082
22 12  -0.0997146
22 13  -0.0955187
22 14  -0.0832516
22 15  -0.0619384
22 16  -0.029737
22 17  0.0163252
22 18  0.0807813
22 19  0.17037
22 20  0.294914
22 21  0.468352
22 22  0.708929
22 23  1.04481
22 24  1.36849
22 25  4
  
23 0  3
23 1  1.13887
23 2  0.745775
23 3  0.524044
23 4  0.375207
23 5  0.272967
23 6  0.202049
23 7  0.152623
23 8  0.118309
23 9  0.0949714
23 10  0.0799603
23 11  0.0716353
23 12  0.0690839
23 13  0.0719673
23 14  0.0804609
23 15  0.0952783
23 16  0.117782
23 17  0.150212
23 18  0.196073
23 19  0.260796
23 20  0.352813
23 21  0.485347
23 22  0.678891
23 23  0.972457
23 24  1.2899
23 25  4
  
24 0  3
24 1  0.984542
24 2  0.643046
24 3  0.496197
24 4  0.409052
24 5  0.352548
24 6  0.314528
24 7  0.288488
24 8  0.270599
24 9  0.258514
24 10  0.250772
24 11  0.246486
24 12  0.245167
24 13  0.246636
24 14  0.250985
24 15  0.258592
24 16  0.270188
24 17  0.286985
24 18  0.310929
24 19  0.345136
24 20  0.394738
24 21  0.46867
24 22  0.583432
24 23  0.783096
24 24  1.02993
24 25  4
  
25 0  3
25 1  1
25 2  1
25 3  1
25 4  1
25 5  1
25 6  1
25 7  1
25 8  1
25 9  1
25 10  1
25 11  1
25 12  1
25 13  1
25 14  1
25 15  1
25 16  1
25 17  1
25 18  1
25 19  1
25 20  1
25 21  1
25 22  1
25 23  1
25 24  1
25 25  4
  
