# This is a data file of approximate electric field vectors
# Variable: N=10, Top=4, Right=1, Bottom=-4, Left=2, Front=2, Back=2, cycles=1000, Length=5

# X	Y	Z	Ex	Ey	Ez
3.5	1	1	-0.201842	0.46884	-0.878525
3.5	1	1.5	-0.111277	0.392979	-0.547907
3.5	1	2	-0.0179302	0.288294	-0.380115
3.5	1	2.5	0.0613232	0.189257	-0.3136
3.5	1	3	0.127727	0.100014	-0.326717
3.5	1	3.5	0.183205	0.0179579	-0.437979
3.5	1	4	0.21736	-0.0517063	-0.408389
3.5	1	4.5	0.184342	-0.0762059	-5.11923
3.5	1.5	0.5	-0.273735	0.161444	-1.55716
3.5	1.5	1	-0.273448	0.216464	-0.954385
3.5	1.5	1.5	-0.17117	0.199817	-0.652592
3.5	1.5	2	-0.0562754	0.154901	-0.479152
3.5	1.5	2.5	0.0454113	0.104393	-0.402843
3.5	1.5	3	0.132005	0.0563703	-0.408773
3.5	1.5	3.5	0.203853	0.0138968	-0.507643
3.5	1.5	4	0.247123	-0.0175434	-0.432889
3.5	1.5	4.5	0.20885	-0.0255783	-5.04302
3.5	2	0.5	-0.301867	0.0438943	-1.50214
3.5	2	1	-0.313016	0.0628466	-0.971032
3.5	2	1.5	-0.207738	0.0608788	-0.697508
3.5	2	2	-0.0827931	0.0486941	-0.52966
3.5	2	2.5	0.0308087	0.0334786	-0.450865
3.5	2	3	0.128637	0.0185432	-0.451247
3.5	2	3.5	0.209552	0.00552546	-0.539084
3.5	2	4	0.257809	-0.00359207	-0.440924
3.5	2	4.5	0.217811	-0.00579648	-5.01745
3.5	2.5	0.5	-0.310306	-0.0438943	-1.48319
3.5	2.5	1	-0.32542	-0.0628466	-0.973
3.5	2.5	1.5	-0.219729	-0.0608788	-0.709693
3.5	2.5	2	-0.0919304	-0.0486941	-0.544876
3.5	2.5	2.5	0.0253396	-0.0334786	-0.465801
3.5	2.5	3	0.126725	-0.0185432	-0.464264
3.5	2.5	3.5	0.210514	-0.00552546	-0.548201
3.5	2.5	4	0.260357	0.00359207	-0.443128
3.5	2.5	4.5	0.220013	0.00579648	-5.01165
3.5	3	0.5	-0.301867	-0.160883	-1.50214
3.5	3	1	-0.313016	-0.215868	-0.971032
3.5	3	1.5	-0.207738	-0.199223	-0.697508
3.5	3	2	-0.0827931	-0.154308	-0.52966
3.5	3	2.5	0.0308087	-0.103799	-0.450865
3.5	3	3	0.128637	-0.0557771	-0.451247
3.5	3	3.5	0.209552	-0.0133007	-0.539084
3.5	3	4	0.257809	0.0181142	-0.440924
3.5	3	4.5	0.217811	0.0263264	-5.01745
3.5	3.5	0.5	-0.273747	-0.406486	-1.55713
3.5	3.5	1	-0.273462	-0.469436	-0.954387
3.5	3.5	1.5	-0.171184	-0.393574	-0.652593
3.5	3.5	2	-0.0562897	-0.288888	-0.479152
3.5	3.5	2.5	0.0453971	-0.189851	-0.402843
3.5	3.5	3	0.131991	-0.100607	-0.40877
3.5	3.5	3.5	0.203839	-0.018554	-0.507669
3.5	3.5	4	0.24711	0.0511356	-0.432712
3.5	3.5	4.5	0.20883	0.0754579	-5.04377
3.5	4	0.5	-0.217694	-0.894661	-1.62008
3.5	4	1	-0.201842	-0.779674	-0.878525
3.5	4	1.5	-0.111277	-0.529729	-0.547907
3.5	4	2	-0.0179302	-0.320773	-0.380115
3.5	4	2.5	0.0613232	-0.158968	-0.3136
3.5	4	3	0.127727	-0.0217571	-0.326717
3.5	4	3.5	0.183205	0.114119	-0.437979
3.5	4	4	0.21736	0.258155	-0.408389
3.5	4	4.5	0.184342	0.386524	-5.11923
3.5	4.5	0.5	-0.125167	-5.13788	-1.50509
3.5	4.5	1	-0.101963	-3.63279	-0.62858
3.5	4.5	1.5	-0.0429568	-3.00421	-0.338951
3.5	4.5	2	0.0119801	-2.66526	-0.218311
3.5	4.5	2.5	0.0564984	-2.44695	-0.176388
3.5	4.5	3	0.0931873	-2.27056	-0.190841
3.5	4.5	3.5	0.124159	-2.07972	-0.293943
3.5	4.5	4	0.144006	-1.78577	-0.280021
3.5	4.5	4.5	0.122686	-1.50575	-5.50575

4	0.5	0.5	-0.320838	1.02371	-1.4725
4	0.5	1	-0.144385	0.891982	-0.56798
4	0.5	1.5	0.0185537	0.672001	-0.283873
4	0.5	2	0.125857	0.501315	-0.173783
4	0.5	2.5	0.199212	0.374236	-0.139684
4	0.5	3	0.258777	0.266724	-0.160094
4	0.5	3.5	0.31987	0.155579	-0.271009
4	0.5	4	0.388752	0.0227634	-0.337253
4	0.5	4.5	0.439603	-0.0813914	-5.38496
4	1	0.5	-0.561291	0.349884	-1.60423
4	1	1	-0.369924	0.397233	-0.78796
4	1	1.5	-0.132454	0.333086	-0.45456
4	1	2	0.043578	0.249949	-0.300862
4	1	2.5	0.17186	0.173345	-0.247196
4	1	3	0.278144	0.104293	-0.271239
4	1	3.5	0.384008	0.0386062	-0.403825
4	1	4	0.494672	-0.0219433	-0.441407
4	1	4.5	0.559511	-0.0516974	-5.30357
4	1.5	0.5	-0.681488	0.133312	-1.55688
4	1.5	1	-0.513461	0.176897	-0.852107
4	1.5	1.5	-0.252043	0.16325	-0.537697
4	1.5	2	-0.0407925	0.128384	-0.377465
4	1.5	2.5	0.121362	0.0897904	-0.316249
4	1.5	3	0.258223	0.0530023	-0.336925
4	1.5	3.5	0.391785	0.0195959	-0.464374
4	1.5	4	0.524375	-0.00685712	-0.471162
4	1.5	4.5	0.593498	-0.0166172	-5.25187
4	2	0.5	-0.734049	0.0354548	-1.51329
4	2	1	-0.584889	0.0504427	-0.865754
4	2	1.5	-0.318092	0.0488878	-0.572563
4	2	2	-0.0915524	0.0395568	-0.416059
4	2	2.5	0.0879479	0.0280094	-0.353037
4	2	3	0.241323	0.0166309	-0.370331
4	2	3.5	0.389395	0.00648682	-0.490827
4	2	4	0.532392	-0.00104411	-0.480922
4	2	4.5	0.603442	-0.00359457	-5.23526
4	2.5	0.5	-0.748757	-0.0354548	-1.4983
4	2.5	1	-0.606084	-0.0504427	-0.867309
4	2.5	1.5	-0.33866	-0.0488878	-0.581894
4	2.5	2	-0.107953	-0.0395568	-0.427606
4	2.5	2.5	0.0767815	-0.0280094	-0.364416
4	2.5	3	0.2353	-0.0166309	-0.380475
4	2.5	3.5	0.387841	-0.00648682	-0.498358
4	2.5	4	0.533917	0.00104411	-0.483472
4	2.5	4.5	0.605599	0.00359457	-5.23166
4	3	0.5	-0.734049	-0.132763	-1.51329
4	3	1	-0.584889	-0.176314	-0.865754
4	3	1.5	-0.318092	-0.16267	-0.572563
4	3	2	-0.0915524	-0.127804	-0.416059
4	3	2.5	0.0879479	-0.089211	-0.353037
4	3	3	0.241323	-0.0524232	-0.370331
4	3	3.5	0.389395	-0.0190142	-0.490827
4	3	4	0.532392	0.00741477	-0.480922
4	3	4.5	0.603442	0.0173455	-5.23526
4	3.5	0.5	-0.681378	-0.350433	-1.55684
4	3.5	1	-0.51334	-0.397816	-0.85211
4	3.5	1.5	-0.251922	-0.333666	-0.537698
4	3.5	2	-0.0406713	-0.250528	-0.377465
4	3.5	2.5	0.121484	-0.173925	-0.316249
4	3.5	3	0.258344	-0.104872	-0.336922
4	3.5	3.5	0.391907	-0.0391879	-0.464398
4	3.5	4	0.524489	0.0213857	-0.470991
4	3.5	4.5	0.59366	0.0509691	-5.2526
4	4	0.5	-0.561291	-0.802134	-1.60423
4	4	1	-0.369924	-0.679794	-0.78796
4	4	1.5	-0.132454	-0.461408	-0.45456
4	4	2	0.043578	-0.290862	-0.300862
4	4	2.5	0.17186	-0.163793	-0.247196
4	4	3	0.278144	-0.0562964	-0.271239
4	4	3.5	0.384008	0.0550722	-0.403825
4	4	4	0.494672	0.184801	-0.441407
4	4	4.5	0.559511	0.324868	-5.30357
4	4.5	0.5	-0.302387	-5.01271	-1.48189
4	4.5	1	-0.126264	-3.53083	-0.569574
4	4.5	1.5	0.0364571	-2.96125	-0.284014
4	4.5	2	0.143731	-2.67724	-0.173792
4	4.5	2.5	0.217083	-2.50345	-0.139699
4	4.5	3	0.276643	-2.36375	-0.15987
4	4.5	3.5	0.337796	-2.20388	-0.274095
4	4.5	4	0.406064	-1.92978	-0.301341
4	4.5	4.5	0.461905	-1.62844	-5.62844

4.5	0.5	0.5	-2.4703	0.783256	-1.29604
4.5	0.5	1	-1.17425	0.666443	-0.405041
4.5	0.5	1.5	-0.769213	0.520994	-0.17657
4.5	0.5	2	-0.592643	0.419035	-0.100429
4.5	0.5	2.5	-0.492214	0.346885	-0.0801188
4.5	0.5	3	-0.412096	0.286091	-0.0989999
4.5	0.5	3.5	-0.313096	0.219716	-0.202127
4.5	0.5	4	-0.110968	0.128683	-0.286402
4.5	0.5	4.5	0.175433	0.0385157	-5.82457
4.5	1	0.5	-3.25355	0.229688	-1.41286
4.5	1	1	-1.8407	0.253696	-0.55049
4.5	1	1.5	-1.29021	0.213497	-0.278528
4.5	1	2	-1.01168	0.165579	-0.172579
4.5	1	2.5	-0.839099	0.122847	-0.140913
4.5	1	3	-0.698186	0.0843719	-0.165375
4.5	1	3.5	-0.532812	0.046384	-0.29316
4.5	1	4	-0.239651	0.0077599	-0.376569
4.5	1	4.5	0.136918	-0.0177094	-5.86308
4.5	1.5	0.5	-3.48324	0.0807506	-1.38885
4.5	1.5	1	-2.09439	0.105469	-0.590689
4.5	1.5	1.5	-1.5037	0.0972004	-0.326447
4.5	1.5	2	-1.17726	0.0776238	-0.21531
4.5	1.5	2.5	-0.961947	0.0563759	-0.179388
4.5	1.5	3	-0.782558	0.0361019	-0.203363
4.5	1.5	3.5	-0.579196	0.017205	-0.331784
4.5	1.5	4	-0.247411	0.00116003	-0.402038
4.5	1.5	4.5	0.154627	-0.0066734	-5.84537
4.5	2	0.5	-3.56399	0.0207468	-1.36413
4.5	2	1	-2.19986	0.0292472	-0.598958
4.5	2	1.5	-1.6009	0.0283203	-0.346024
4.5	2	2	-1.25488	0.0231564	-0.236558
4.5	2	2.5	-1.01832	0.016843	-0.199662
4.5	2	3	-0.81866	0.0106085	-0.22226
4.5	2	3.5	-0.596401	0.00493317	-0.347829
4.5	2	4	-0.248571	0.000480271	-0.409872
4.5	2	4.5	0.1613	-0.00143794	-5.8387
4.5	2.5	0.5	-3.58474	-0.0207468	-1.35563
4.5	2.5	1	-2.22911	-0.0292472	-0.599884
4.5	2.5	1.5	-1.62922	-0.0283203	-0.351188
4.5	2.5	2	-1.27804	-0.0231564	-0.242872
4.5	2.5	2.5	-1.03517	-0.016843	-0.205897
4.5	2.5	3	-0.829269	-0.0106085	-0.227935
4.5	2.5	3.5	-0.601334	-0.00493317	-0.352282
4.5	2.5	4	-0.249051	-0.000480271	-0.41179
4.5	2.5	4.5	0.162738	0.00143794	-5.83726
4.5	3	0.5	-3.56399	-0.0800918	-1.36413
4.5	3	1	-2.19986	-0.104765	-0.598958
4.5	3	1.5	-1.6009	-0.096499	-0.346024
4.5	3	2	-1.25488	-0.0769233	-0.236558
4.5	3	2.5	-1.01832	-0.0556754	-0.199662
4.5	3	3	-0.81866	-0.0354018	-0.22226
4.5	3	3.5	-0.596401	-0.0165013	-0.347829
4.5	3	4	-0.248571	-0.000488506	-0.409872
4.5	3	4.5	0.1613	0.00756273	-5.8387
4.5	3.5	0.5	-3.4839	-0.230347	-1.3888
4.5	3.5	1	-2.0951	-0.2544	-0.590691
4.5	3.5	1.5	-1.50441	-0.214199	-0.326448
4.5	3.5	2	-1.17796	-0.166279	-0.21531
4.5	3.5	2.5	-0.962647	-0.123548	-0.179389
4.5	3.5	3	-0.783258	-0.085072	-0.203359
4.5	3.5	3.5	-0.579899	-0.0470878	-0.331817
4.5	3.5	4	-0.248083	-0.00843143	-0.40182
4.5	3.5	4.5	0.153738	0.0168201	-5.84626
4.5	4	0.5	-3.25355	-0.54323	-1.41286
4.5	4	1	-1.8407	-0.436135	-0.55049
4.5	4	1.5	-1.29021	-0.292497	-0.278528
4.5	4	2	-1.01168	-0.190709	-0.172579
4.5	4	2.5	-0.839099	-0.11857	-0.140913
4.5	4	3	-0.698186	-0.0577971	-0.165375
4.5	4	3.5	-0.532812	0.00886065	-0.29316
4.5	4	4	-0.239651	0.0961931	-0.376569
4.5	4	4.5	0.136918	0.227263	-5.86308
4.5	4.5	0.5	-2.71032	-4.71032	-1.30576
4.5	4.5	1	-1.40456	-3.40456	-0.406853
4.5	4.5	1.5	-0.997709	-2.99771	-0.17674
4.5	4.5	2	-0.820969	-2.82097	-0.10044
4.5	4.5	2.5	-0.720529	-2.72053	-0.0801395
4.5	4.5	3	-0.640389	-2.64039	-0.0987172
4.5	4.5	3.5	-0.541672	-2.54167	-0.205828
4.5	4.5	4	-0.335844	-2.33584	-0.245499
4.5	4.5	4.5	-0.090345	-2.09035	-6.09035

