# This is a data file of approximate electric field vectors
# Variable: N=10, Top=4, Right=1, Bottom=-4, Left=2, Front=2, Back=2, cycles=1000, Length=5

# X	Y	Z	Ex	Ey	Ez
1	2	3.5	-0.0212343	-0.00181801	-0.419474
1	2	4	-0.0886598	-0.00747996	-0.341262
1	2	4.5	-0.100039	-0.00719043	-4.99135
1	2.5	0.5	0.428302	-0.031859	-1.64139
1	2.5	1	0.495679	-0.0440069	-0.940528
1	2.5	1.5	0.409431	-0.0405829	-0.615456
1	2.5	2	0.288173	-0.0302402	-0.437238
1	2.5	2.5	0.172429	-0.0183775	-0.354784
1	2.5	3	0.0695182	-0.00731431	-0.346917
1	2.5	3.5	-0.0208102	0.00181801	-0.425136
1	2.5	4	-0.0900721	0.00747996	-0.340972
1	2.5	4.5	-0.101569	0.00719043	-4.98416
1	3	0.5	0.419191	-0.119727	-1.65354
1	3	1	0.482139	-0.153348	-0.937104
1	3	1.5	0.396054	-0.133422	-0.605114
1	3	2	0.27754	-0.0952574	-0.425375
1	3	2.5	0.165434	-0.0556522	-0.343721
1	3	3	0.0661099	-0.0198762	-0.337784
1	3	3.5	-0.0212343	0.0102335	-0.419474
1	3	4	-0.0886598	0.0303809	-0.341262
1	3	4.5	-0.100039	0.0303801	-4.99135
1	3.5	0.5	0.388034	-0.319697	-1.68716
1	3.5	1	0.437575	-0.345416	-0.917178
1	3.5	1.5	0.353491	-0.268595	-0.566949
1	3.5	2	0.244608	-0.179175	-0.38577
1	3.5	2.5	0.144307	-0.100703	-0.307945
1	3.5	3	0.0563282	-0.0335185	-0.307675
1	3.5	3.5	-0.0215301	0.0258836	-0.399327
1	3.5	4	-0.0829711	0.0737859	-0.341262
1	3.5	4.5	-0.094096	0.0817152	-5.02173
1	4	0.5	0.322148	-0.735492	-1.71288
1	4	1	0.35038	-0.57172	-0.840357
1	4	1.5	0.275406	-0.331679	-0.477529
1	4	2	0.187073	-0.151202	-0.307297
1	4	2.5	0.108955	-0.021293	-0.24076
1	4	3	0.0414163	0.0833637	-0.248272
1	4	3.5	-0.0190739	0.184801	-0.351424
1	4	4	-0.0687967	0.292876	-0.333333
1	4	4.5	-0.0794421	0.391409	-5.10344
1	4.5	0.5	0.200539	-4.8798	-1.54911
1	4.5	1	0.206868	-3.3307	-0.600316
1	4.5	1.5	0.157718	-2.73038	-0.297053
1	4.5	2	0.105822	-2.43333	-0.177388
1	4.5	2.5	0.0619761	-2.25594	-0.136104
1	4.5	3	0.0246151	-2.11983	-0.146835
1	4.5	3.5	-0.00939466	-1.973	-0.243349
1	4.5	4	-0.0390687	-1.72965	-0.2348
1	4.5	4.5	-0.0468162	-1.49485	-5.49485

1.5	0.5	0.5	0.073686	1.07974	-1.5334
1.5	0.5	1	0.0938733	0.928487	-0.647855
1.5	0.5	1.5	0.0832689	0.661011	-0.348806
1.5	0.5	2	0.0626787	0.443954	-0.221224
1.5	0.5	2.5	0.0411556	0.279763	-0.173448
1.5	0.5	3	0.0211569	0.144912	-0.181075
1.5	0.5	3.5	0.00327297	0.0172247	-0.269881
1.5	0.5	4	-0.0104298	-0.114042	-0.278836
1.5	0.5	4.5	-0.0137819	-0.179184	-5.20318
1.5	1	0.5	0.127318	0.385024	-1.68465
1.5	1	1	0.166817	0.432017	-0.915331
1.5	1	1.5	0.150992	0.346089	-0.565863
1.5	1	2	0.115176	0.23612	-0.385415
1.5	1	2.5	0.0763262	0.135464	-0.308299
1.5	1	3	0.039794	0.0478401	-0.308763
1.5	1	3.5	0.00733811	-0.0289329	-0.401147
1.5	1	4	-0.0169362	-0.0885283	-0.343978
1.5	1	4.5	-0.0226118	-0.0971129	-5.024
1.5	1.5	0.5	0.16013	0.151443	-1.63765
1.5	1.5	1	0.214414	0.198506	-1.00126
1.5	1.5	1.5	0.197562	0.176576	-0.675831
1.5	1.5	2	0.152677	0.128779	-0.486071
1.5	1.5	2.5	0.102204	0.0773696	-0.395923
1.5	1.5	3	0.0541455	0.0302482	-0.385536
1.5	1.5	3.5	0.0116415	-0.00934471	-0.460743
1.5	1.5	4	-0.0195937	-0.0355015	-0.352563
1.5	1.5	4.5	-0.0268934	-0.0355798	-4.92689
1.5	2	0.5	0.177108	0.0409708	-1.59059
1.5	2	1	0.240204	0.0575463	-1.02319
1.5	2	1.5	0.22386	0.0539595	-0.723628
1.5	2	2	0.174546	0.0408736	-0.537481
1.5	2	2.5	0.117704	0.0253729	-0.443045
1.5	2	3	0.0630921	0.0107227	-0.425129
1.5	2	3.5	0.0148941	-0.00139387	-0.486899
1.5	2	4	-0.0201979	-0.00889232	-0.352641
1.5	2	4.5	-0.0285402	-0.0087201	-4.89131
1.5	2.5	0.5	0.182295	-0.0409708	-1.57401
1.5	2.5	1	0.248271	-0.0575463	-1.02678
1.5	2.5	1.5	0.232271	-0.0539595	-0.736714
1.5	2.5	2	0.181667	-0.0408736	-0.552981
1.5	2.5	2.5	0.12283	-0.0253729	-0.457695
1.5	2.5	3	0.0661189	-0.0107227	-0.437245
1.5	2.5	3.5	0.0160953	0.00139387	-0.494398
1.5	2.5	4	-0.0202254	0.00889232	-0.352469
1.5	2.5	4.5	-0.028935	0.0087201	-4.88259
1.5	3	0.5	0.177108	-0.150884	-1.59059
1.5	3	1	0.240204	-0.197912	-1.02319
1.5	3	1.5	0.22386	-0.175984	-0.723628
1.5	3	2	0.174546	-0.128189	-0.537481
1.5	3	2.5	0.117704	-0.076779	-0.443045
1.5	3	3	0.0630921	-0.0296579	-0.425129
1.5	3	3.5	0.0148941	0.00993778	-0.486899
