# This  a data file of potential over a plane
# Variables:  Top=1, Right=2, Bottom=3, Left=4, Front=-2, Back=-1, cycles=10000
  
7 7  0.578475
7 8  0.711893
7 9  0.827231
7 10  0.92694
7 11  1.01319
7 12  1.08785
7 13  1.15251
7 14  1.2085
7 15  1.25694
7 16  1.29876
7 17  1.33474
7 18  1.36553
7 19  1.39165
7 20  1.41355
7 21  1.43158
7 22  1.44602
7 23  1.4571
7 24  1.46498
7 25  1.46976
7 26  1.47151
7 27  1.47025
7 28  1.46592
7 29  1.45845
7 30  1.4477
7 31  1.43347
7 32  1.4155
7 33  1.39345
7 34  1.36691
7 35  1.33537
7 36  1.29821
7 37  1.25468
7 38  1.20386
7 39  1.14465
7 40  1.07575
7 41  0.995624
7 42  0.902465
7 43  0.794244
7 44  0.66877
7 45  0.523882
7 46  0.35781
7 47  0.169886
7 48  -0.0403967
7 49  -0.238222
7 50  -1
  
8 0  -2
8 1  -0.799031
8 2  -0.502936
8 3  -0.268558
8 4  -0.055095
8 5  0.137885
8 6  0.310266
8 7  0.462934
8 8  0.597388
8 9  0.715387
8 10  0.818725
8 11  0.909108
8 12  0.988082
8 13  1.05702
8 14  1.11712
8 15  1.16942
8 16  1.21479
8 17  1.25398
8 18  1.28763
8 19  1.31627
8 20  1.34034
8 21  1.3602
8 22  1.37614
8 23  1.3884
8 24  1.39713
8 25  1.40246
8 26  1.40445
8 27  1.40311
8 28  1.39841
8 29  1.39027
8 30  1.37852
8 31  1.36299
8 32  1.3434
8 33  1.31943
8 34  1.29066
8 35  1.25659
8 36  1.21664
8 37  1.17008
8 38  1.11608
8 39  1.05367
8 40  0.981717
8 41  0.898946
8 42  0.803952
8 43  0.69525
8 44  0.571382
8 45  0.431105
8 46  0.273683
8 47  0.0994055
8 48  -0.0917423
8 49  -0.265439
8 50  -1
  
9 0  -2
9 1  -0.823685
9 2  -0.55002
9 3  -0.334289
9 4  -0.135032
9 5  0.0480834
9 6  0.214384
9 7  0.364012
9 8  0.497717
9 9  0.6166
9 10  0.721919
9 11  0.814964
9 12  0.896977
9 13  0.96911
9 14  1.0324
9 15  1.08778
9 16  1.13606
9 17  1.17793
9 18  1.21402
9 19  1.24482
9 20  1.27077
9 21  1.29224
9 22  1.3095
9 23  1.32281
9 24  1.33231
9 25  1.33814
9 26  1.34037
9 27  1.33899
9 28  1.33399
