  
0 0  -2
0 1  4
0 2  4
0 3  4
0 4  4
0 5  4
0 6  4
0 7  4
0 8  4
0 9  4
0 10  4
0 11  4
0 12  4
0 13  4
0 14  4
0 15  4
0 16  4
0 17  4
0 18  4
0 19  4
0 20  4
0 21  4
0 22  4
0 23  4
0 24  4
0 25  4
  
1 0  -2
1 1  0.551584
1 2  1.19863
1 3  1.48084
1 4  1.63365
1 5  1.72695
1 6  1.78853
1 7  1.83122
1 8  1.86163
1 9  1.88345
1 10  1.89886
1 11  1.90918
1 12  1.91519
1 13  1.9173
1 14  1.91561
1 15  1.90992
1 16  1.89969
1 17  1.88392
1 18  1.86086
1 19  1.8275
1 20  1.77839
1 21  1.70288
1 22  1.57802
1 23  1.34578
1 24  0.885222
1 25  -1
  
2 0  -2
2 1  -0.137592
2 2  0.508461
2 3  0.88255
2 4  1.12061
2 5  1.27964
2 6  1.3901
2 7  1.46903
2 8  1.52631
2 9  1.5679
2 10  1.5975
2 11  1.61743
2 12  1.6291
2 13  1.63325
2 14  1.63006
2 15  1.61919
2 16  1.59969
2 17  1.5698
2 18  1.52658
2 19  1.4652
2 20  1.37751
2 21  1.24941
2 22  1.05574
2 23  0.749358
2 24  0.286224
2 25  -1
  
3 0  -2
3 1  -0.419378
3 2  0.137028
3 3  0.512317
3 4  0.781142
3 5  0.975732
3 6  1.11832
3 7  1.22388
3 8  1.30234
3 9  1.36024
3 10  1.40192
3 11  1.43021
3 12  1.44691
3 13  1.45295
3 14  1.4486
3 15  1.43345
3 16  1.40631
3 17  1.36508
3 18  1.30635
3 19  1.22485
3 20  1.11247
3 21  0.956829
3 22  0.739659
3 23  0.434476
3 24  0.0474565
3 25  -1
  
4 0  -2
4 1  -0.569873
4 2  -0.0963906
4 3  0.250348
4 4  0.520178
4 5  0.728471
4 6  0.888535
4 7  1.0112
4 8  1.10467
4 9  1.17489
4 10  1.22609
4 11  1.26121
4 12  1.28211
4 13  1.28986
4 14  1.28477
4 15  1.26641
4 16  1.23359
4 17  1.1842
4 18  1.11498
4 19  1.02119
4 20  0.896188
4 21  0.731089
4 22  0.515082
4 23  0.235735
4 24  -0.0801725
4 25  -1
  
5 0  -2
5 1  -0.661059
5 2  -0.251252
5 3  0.0618491
5 4  0.319725
5 5  0.52878
5 6  0.695872
5 7  0.8279
5 8  0.930865
5 9  1.00959
5 10  1.06777
5 11  1.10809
5 12  1.13235
5 13  1.14159
5 14  1.13616
5 15  1.11569
5 16  1.07911
5 17  1.02456
5 18  0.949267
5 19  0.849485
5 20  0.720425
5 21  0.556503
5 22  0.352297
5 23  0.102856
5 24  -0.15809
5 25  -1
  
6 0  -2
6 1  -0.720888
6 2  -0.358272
6 3  -0.0756987
6 4  0.166142
6 5  0.369421
6 6  0.537026
6 7  0.672887
6 8  0.781028
6 9  0.865054
6 10  0.927939
6 11  0.971967
6 12  0.998752
6 13  1.00926
6 14  1.00384
6 15  0.982231
6 16  0.943556
6 17  0.886315
6 18  0.808378
6 19  0.707037
6 20  0.579178
6 21  0.42171
6 22  0.232532
6 23  0.0102249
6 24  -0.209679
6 25  -1
  
7 0  -2
7 1  -0.762248
7 2  -0.434576
7 3  -0.177425
7 4  0.048408
7 5  0.243275
7 6  0.407815
7 7  0.543957
7 8  0.654192
7 9  0.74105
7 10  0.806795
7 11  0.853279
7 12  0.881866
7 13  0.893415
7 14  0.888275
7 15  0.866289
7 16  0.826809
7 17  0.768721
7 18  0.690509
7 19  0.590383
7 20  0.466528
7 21  0.317534
7 22  0.143181
7 23  -0.0564317
7 24  -0.245686
7 25  -1
  
8 0  -2
8 1  -0.791783
8 2  -0.49013
8 3  -0.253364
8 4  -0.0418238
8 5  0.144151
8 6  0.303997
8 7  0.438381
8 8  0.548703
8 9  0.636644
8 10  0.703864
8 11  0.751808
8 12  0.781598
8 13  0.793977
8 14  0.789287
8 15  0.76747
8 16  0.728091
8 17  0.670391
8 18  0.593376
8 19  0.495976
8 20  0.3773
8 21  0.237
8 22  0.0758654
8 23  -0.105431
8 24  -0.271656
8 25  -1
  
9 0  -2
9 1  -0.813224
9 2  -0.530973
9 3  -0.310179
9 4  -0.110661
9 5  0.0670469
9 6  0.22177
9 7  0.353413
9 8  0.462643
9 9  0.550526
9 10  0.618245
9 11  0.666909
9 12  0.69743
9 13  0.710443
9 14  0.706284
9 15  0.684976
9 16  0.646267
9 17  0.589686
9 18  0.514644
9 19  0.420599
9 20  0.30728
9 21  0.174979
9 22  0.0249964
9 23  -0.141832
9 24  -0.290711
9 25  -1
  
10 0  -2
10 1  -0.828792
10 2  -0.560889
10 3  -0.352326
10 4  -0.162486
10 5  0.0080992
10 6  0.157962
10 7  0.286571
10 8  0.394126
10 9  0.481271
10 10  0.548847
10 11  0.597708
10 12  0.628598
10 13  0.64207
10 14  0.638447
10 15  0.61782
10 16  0.580076
10 17  0.524959
10 18  0.452176
10 19  0.361544
10 20  0.253186
10 21  0.127762
10 22  -0.0131827
10 23  -0.168818
10 24  -0.304718
10 25  -1
  
11 0  -2
11 1  -0.839856
11 2  -0.582292
11 3  -0.382777
11 4  -0.200381
11 5  -0.0355665
11 6  0.110075
11 7  0.235777
11 8  0.341467
11 9  0.427523
11 10  0.49456
11 11  0.543259
11 12  0.574247
11 13  0.588015
11 14  0.58488
11 15  0.564977
11 16  0.528292
11 17  0.474718
11 18  0.404155
11 19  0.316646
11 20  0.212547
11 21  0.0927147
11 22  -0.0412031
11 23  -0.188438
11 24  -0.314837
11 25  -1
  
12 0  -2
12 1  -0.847258
12 2  -0.596699
12 3  -0.403468
12 4  -0.226433
12 5  -0.0659857
12 6  0.076251
12 7  0.199409
12 8  0.30328
12 9  0.388104
12 10  0.45437
12 11  0.502661
12 12  0.533536
12 13  0.547449
12 14  0.544713
12 15  0.525493
12 16  0.489831
12 17  0.437707
12 18  0.36913
12 19  0.284264
